Neighbor_Word,Similarity,Target_Word,Period,Model_Type,Rank
georgia_alabama,0.6956916451454163,terrorism,1851-1900,CBOW,1
fair_election,0.6436499357223511,terrorism,1851-1900,CBOW,2
arkansas,0.6110032796859741,terrorism,1851-1900,CBOW,3
alabama_arkansas,0.5920950770378113,terrorism,1851-1900,CBOW,4
louisiana_mississippi,0.584009051322937,terrorism,1851-1900,CBOW,5
jackson_miss,0.5772587060928345,terrorism,1851-1900,CBOW,6
florida_louisiana,0.5629785060882568,terrorism,1851-1900,CBOW,7
intimidation_violence,0.5610044598579407,terrorism,1851-1900,CBOW,8
klan,0.5550737380981445,terrorism,1851-1900,CBOW,9
legislature_elect,0.5510488748550415,terrorism,1851-1900,CBOW,10
throughout_entire,0.5355458855628967,terrorism,1851-1900,CBOW,11
found_principle,0.5296404361724854,terrorism,1851-1900,CBOW,12
lawlessness_prevail,0.5293142199516296,terrorism,1851-1900,CBOW,13
bias,0.5289083123207092,terrorism,1851-1900,CBOW,14
depopulate,0.5284051895141602,terrorism,1851-1900,CBOW,15
mississippi_louisiana,0.5171416401863098,terrorism,1851-1900,CBOW,16
riot_tumult,0.5140485763549805,terrorism,1851-1900,CBOW,17
antagonise,0.5130763053894043,terrorism,1851-1900,CBOW,18
arkansas_mississippi,0.5095357894897461,terrorism,1851-1900,CBOW,19
practical_disfranchisement,0.5093247890472412,terrorism,1851-1900,CBOW,20
jefferson,0.5089684724807739,terrorism,1851-1900,CBOW,21
south_west,0.5046957731246948,terrorism,1851-1900,CBOW,22
exalted,0.5039492249488831,terrorism,1851-1900,CBOW,23
merciless,0.500712513923645,terrorism,1851-1900,CBOW,24
adams,0.4982491731643677,terrorism,1851-1900,CBOW,25
civil_liberty,0.49810564517974854,terrorism,1851-1900,CBOW,26
slaveholding,0.49623262882232666,terrorism,1851-1900,CBOW,27
disfranchise,0.49583226442337036,terrorism,1851-1900,CBOW,28
bulldozing,0.4901208281517029,terrorism,1851-1900,CBOW,29
prevail,0.48930785059928894,terrorism,1851-1900,CBOW,30
canton,0.486004501581192,terrorism,1851-1900,CBOW,31
evince_spirit,0.48406335711479187,terrorism,1851-1900,CBOW,32
marvin_provisional_governor,0.48355841636657715,terrorism,1851-1900,CBOW,33
mississippi_alabama,0.48240727186203003,terrorism,1851-1900,CBOW,34
north,0.4814631938934326,terrorism,1851-1900,CBOW,35
interesting_alabama,0.48022741079330444,terrorism,1851-1900,CBOW,36
essence,0.4798527956008911,terrorism,1851-1900,CBOW,37
free_fair,0.4792868494987488,terrorism,1851-1900,CBOW,38
deprecated,0.47899875044822693,terrorism,1851-1900,CBOW,39
repugnant,0.47860193252563477,terrorism,1851-1900,CBOW,40
qualified_elector,0.4783487319946289,terrorism,1851-1900,CBOW,41
insulate,0.4782153069972992,terrorism,1851-1900,CBOW,42
opinion_express,0.4779784381389618,terrorism,1851-1900,CBOW,43
overt_act,0.4756568670272827,terrorism,1851-1900,CBOW,44
aright,0.4746468663215637,terrorism,1851-1900,CBOW,45
axis,0.47464558482170105,terrorism,1851-1900,CBOW,46
tete,0.4744262397289276,terrorism,1851-1900,CBOW,47
indignity,0.47414371371269226,terrorism,1851-1900,CBOW,48
perish,0.4705098867416382,terrorism,1851-1900,CBOW,49
review,0.46947455406188965,terrorism,1851-1900,CBOW,50
north_south_carolina,0.46924060583114624,terrorism,1851-1900,CBOW,51
florida,0.46895354986190796,terrorism,1851-1900,CBOW,52
substantiate,0.4682660698890686,terrorism,1851-1900,CBOW,53
civil_right,0.46805375814437866,terrorism,1851-1900,CBOW,54
perpetrate,0.4680328667163849,terrorism,1851-1900,CBOW,55
fourteenth_amendment,0.46797049045562744,terrorism,1851-1900,CBOW,56
military_commander,0.4675450921058655,terrorism,1851-1900,CBOW,57
powerless_prevent,0.465289443731308,terrorism,1851-1900,CBOW,58
aureus,0.46438074111938477,terrorism,1851-1900,CBOW,59
suppress,0.4642750918865204,terrorism,1851-1900,CBOW,60
entitle_respect,0.4640112519264221,terrorism,1851-1900,CBOW,61
fraud_intimidation,0.46206390857696533,terrorism,1851-1900,CBOW,62
secede_union,0.4618768095970154,terrorism,1851-1900,CBOW,63
locality,0.4612288475036621,terrorism,1851-1900,CBOW,64
bloody_riot,0.4610731899738312,terrorism,1851-1900,CBOW,65
conclusive_proof,0.4610646963119507,terrorism,1851-1900,CBOW,66
congressional_committee,0.4605411887168884,terrorism,1851-1900,CBOW,67
derogation,0.46051087975502014,terrorism,1851-1900,CBOW,68
reign_terror_exist,0.4602106213569641,terrorism,1851-1900,CBOW,69
express_sentiment,0.4601691663265228,terrorism,1851-1900,CBOW,70
proviso,0.45986685156822205,terrorism,1851-1900,CBOW,71
election_fraud,0.4593810439109802,terrorism,1851-1900,CBOW,72
speak_freely,0.45912352204322815,terrorism,1851-1900,CBOW,73
violence_intimidation,0.45909228920936584,terrorism,1851-1900,CBOW,74
fundamental_principle,0.45870161056518555,terrorism,1851-1900,CBOW,75
virginia_north_carolina,0.457088828086853,terrorism,1851-1900,CBOW,76
exist,0.456529438495636,terrorism,1851-1900,CBOW,77
electoral,0.4552617371082306,terrorism,1851-1900,CBOW,78
paralyzed,0.45325130224227905,terrorism,1851-1900,CBOW,79
exclusive_property,0.45201197266578674,terrorism,1851-1900,CBOW,80
passport,0.45110276341438293,terrorism,1851-1900,CBOW,81
white_black,0.4499189555644989,terrorism,1851-1900,CBOW,82
misrule,0.4497694969177246,terrorism,1851-1900,CBOW,83
democratic_nomination,0.449689656496048,terrorism,1851-1900,CBOW,84
voter_register,0.4496752619743347,terrorism,1851-1900,CBOW,85
reign_terror,0.44941726326942444,terrorism,1851-1900,CBOW,86
free_expression,0.44871267676353455,terrorism,1851-1900,CBOW,87
person_property,0.44828006625175476,terrorism,1851-1900,CBOW,88
deluge,0.44773250818252563,terrorism,1851-1900,CBOW,89
alabama,0.44723305106163025,terrorism,1851-1900,CBOW,90
freedom_speech,0.44592270255088806,terrorism,1851-1900,CBOW,91
twelve_thousand,0.44591206312179565,terrorism,1851-1900,CBOW,92
teem,0.445909321308136,terrorism,1851-1900,CBOW,93
chas,0.44582638144493103,terrorism,1851-1900,CBOW,94
negroes,0.4447573721408844,terrorism,1851-1900,CBOW,95
previous_condition_servitude,0.4441763162612915,terrorism,1851-1900,CBOW,96
parish_baton_gouge,0.44414687156677246,terrorism,1851-1900,CBOW,97
whilst,0.44350165128707886,terrorism,1851-1900,CBOW,98
judge_ballard,0.44325366616249084,terrorism,1851-1900,CBOW,99
verbal,0.44298502802848816,terrorism,1851-1900,CBOW,100
federalist,0.442856103181839,terrorism,1851-1900,CBOW,101
richmond,0.44249528646469116,terrorism,1851-1900,CBOW,102
stand_trial,0.4415736198425293,terrorism,1851-1900,CBOW,103
representatives,0.4413202106952667,terrorism,1851-1900,CBOW,104
worthy_praise,0.4409511387348175,terrorism,1851-1900,CBOW,105
masonic,0.4407528340816498,terrorism,1851-1900,CBOW,106
thoroughly_arouse,0.44066691398620605,terrorism,1851-1900,CBOW,107
instructive,0.440001517534256,terrorism,1851-1900,CBOW,108
forty_mile,0.4398471713066101,terrorism,1851-1900,CBOW,109
affirm,0.4394499957561493,terrorism,1851-1900,CBOW,110
imbecility,0.4389192759990692,terrorism,1851-1900,CBOW,111
perplex,0.4383035898208618,terrorism,1851-1900,CBOW,112
colored_vote,0.43814989924430847,terrorism,1851-1900,CBOW,113
unfamiliar,0.43776804208755493,terrorism,1851-1900,CBOW,114
color_voter,0.4374842941761017,terrorism,1851-1900,CBOW,115
freemen,0.43690869212150574,terrorism,1851-1900,CBOW,116
set_forth,0.43690431118011475,terrorism,1851-1900,CBOW,117
democratic_senator,0.43683260679244995,terrorism,1851-1900,CBOW,118
abolitionist,0.4367699921131134,terrorism,1851-1900,CBOW,119
